Número de entrada,#,Ordem,Família,Espécie ou Subespécie,Categoria
444,*,Siluriformes,Loricariidae,Scobinancistrus aureatus,VU
445,*,Siluriformes,Loricariidae,Scobinancistrus pariolispos,VU
446,*,Siluriformes,Pimelodidae,Aguarunichthys tocantinsensis,EN
447,*,Siluriformes,Pimelodidae,Conorhynchos conirostris,VU
448,*,Siluriformes,Pimelodidae,Pimelodus joannis,VU
449,*,Siluriformes,Pimelodidae,Pimelodus stewartii,CR
450,,Siluriformes,Pimelodidae,Pseudoplatystoma corruscans,CR
451,*,Siluriformes,Pimelodidae,Steindachneridion amblyurum,EN
452,*,Siluriformes,Pimelodidae,Steindachneridion doceanum,EN
453,*,Siluriformes,Pimelodidae,Steindachneridion melanodermatum,EN
454,*,Siluriformes,Pimelodidae,Steindachneridion parahybae,VU
455,*,Siluriformes,Pimelodidae,Steindachneridion scriptum,CR
456,*,Siluriformes,Pseudopimelodidae,Lophiosilurus alexandri,CR
457,,Siluriformes,Pseudopimelodidae,Microglanis maculatus,EN
458,*,Siluriformes,Pseudopimelodidae,Microglanis robustus,VU
459,*,Siluriformes,Trichomycteridae,Cambeva crassicaudata,EN
460,*,Siluriformes,Trichomycteridae,Cambeva igobi,EN
461,*,Siluriformes,Trichomycteridae,Cambeva mboycy,EN
462,*,Siluriformes,Trichomycteridae,Cambeva paolence,CR
463,*,Siluriformes,Trichomycteridae,Cambeva papillifera,CR
464,,Siluriformes,Trichomycteridae,Cambeva pascuali,VU
465,*,Siluriformes,Trichomycteridae,Cambeva tropeiro,CR
466,*,Siluriformes,Trichomycteridae,Glaphyropoma spinosum,EN
467,*,Siluriformes,Trichomycteridae,Ituglanis bambui,VU
468,*,Siluriformes,Trichomycteridae,Ituglanis cahyensis,EN
469,*,Siluriformes,Trichomycteridae,Ituglanis epikarsticus,VU
470,*,Siluriformes,Trichomycteridae,Ituglanis mambai,VU
471,*,Siluriformes,Trichomycteridae,Ituglanis passensis,CR
472,*,Siluriformes,Trichomycteridae,Ituglanis ramiroi,CR
473,*,Siluriformes,Trichomycteridae,Listrura camposi,EN
474,*,Siluriformes,Trichomycteridae,Listrura nematopteryx,CR
475,*,Siluriformes,Trichomycteridae,Microcambeva draco,VU
476,*,Siluriformes,Trichomycteridae,Trichogenes claviger,CR
477,*,Siluriformes,Trichomycteridae,Trichomycterus dali,VU
478,*,Siluriformes,Trichomycteridae,Trichomycterus itacarambiensis,CR
479,*,Siluriformes,Trichomycteridae,Trichomycterus rubbioli,CR
480,*,Siluriformes,Trichomycteridae,Trichomycterus triguttatus,CR
481,*,Squatiniformes,Squatinidae,Squatina argentina,CR
482,*,Squatiniformes,Squatinidae,Squatina guggenheim,VU
483,*,Squatiniformes,Squatinidae,Squatina occulta,VU
484,*,Syngnathiformes,Syngnathidae,Hippocampus erectus,VU
485,*,Syngnathiformes,Syngnathidae,Hippocampus patagonicus,VU
486,*,Syngnathiformes,Syngnathidae,Hippocampus reidi,VU
487,,Torpediniformes,Narcinidae,Narcine brasiliensis,VU
